date,mean_compound,pct_positive,pct_negative,n_headlines
2018-01,-0.0303,22.5,29.3,484
2018-02,-0.0678,22.0,32.5,286
2018-03,-0.0464,20.2,27.1,203
2018-04,-0.0354,20.2,26.4,208
2018-05,-0.0035,25.4,26.5,185
2018-06,-0.051,19.6,28.1,153
2018-07,-0.0183,24.0,25.6,129
2018-08,-0.0338,21.5,34.6,130
2018-09,-0.0495,20.4,27.8,108
2018-10,-0.0109,25.7,25.7,144
2018-11,-0.0738,20.2,37.5,168
2018-12,-0.0925,23.0,43.0,100
2019-01,0.0391,28.7,18.3,115
2019-02,0.0483,24.5,13.6,110
2019-03,-0.0595,21.0,30.6,62
2019-04,-0.0564,17.7,27.1,96
2019-05,-0.0185,30.6,27.0,111
2019-06,0.0182,26.6,19.1,94
2019-07,0.0072,32.3,28.0,93
2019-08,0.0229,31.8,23.5,85
2019-09,0.0014,26.1,25.0,92
2019-10,-0.0277,26.8,22.7,97
2019-11,-0.0191,24.7,32.3,93
2019-12,0.0211,26.5,22.4,49
2020-01,-0.035,22.2,27.8,72
2020-02,-0.0226,23.9,23.9,67
2020-03,-0.1148,19.7,43.9,66
2020-04,0.0636,43.1,15.4,65
2020-05,0.0788,42.2,13.7,102
2020-06,-0.0364,20.5,25.6,78
2020-07,-0.1496,12.4,36.0,89
2020-08,-0.0031,23.9,19.7,71
2020-09,0.0375,24.6,15.8,57
2020-10,-0.0531,20.5,28.8,73
2020-11,-0.0025,21.7,23.3,120
2020-12,0.0681,32.6,15.9,138
2021-01,-0.0232,22.4,26.0,246
2021-02,0.0214,25.7,19.2,339
2021-03,-0.0095,25.7,22.1,226
2021-04,-0.0494,20.4,30.3,201
2021-05,-0.0527,21.3,32.3,254
2021-06,-0.033,24.1,27.2,294
2021-07,0.0023,31.0,24.1,145
2021-08,-0.0134,22.7,24.1,141
2021-09,-0.0289,25.2,27.2,151
2021-10,0.0713,35.9,15.4,156
2021-11,-0.0171,21.6,23.7,139
2021-12,-0.028,21.2,26.0,104
2022-01,-0.0564,21.2,27.7,184
2022-02,-0.0674,19.1,34.0,162
2022-03,0.0253,27.8,20.6,97
2022-04,-0.0137,25.7,25.7,109
2022-05,-0.0722,20.2,27.2,114
2022-06,-0.1064,11.7,33.0,179
2022-07,-0.0104,24.0,23.1,104
2022-08,-0.0291,21.4,33.3,84
2022-09,-0.1448,8.6,38.6,70
2022-10,-0.017,28.0,24.0,50
2022-11,-0.1197,18.9,36.8,95
2022-12,-0.097,14.5,34.9,83
2023-01,-0.072,17.2,27.6,58
2023-02,-0.0721,10.4,29.2,48
2023-03,-0.0361,16.3,26.5,49
2023-04,-0.087,17.2,36.2,58
2023-05,-0.0218,28.8,30.5,59
2023-06,0.0384,38.9,31.5,54
2023-07,0.0463,34.1,18.2,44
2023-08,0.0031,29.4,27.5,51
2023-09,0.0339,30.8,20.5,39
2023-10,0.0664,38.8,20.4,49
2023-11,0.0405,26.3,21.1,57
2023-12,0.0782,30.6,16.1,62
2024-01,0.0963,43.9,18.7,139
2024-02,0.0325,23.8,17.5,80
2024-03,0.0154,27.7,18.8,101
2024-04,0.0788,50.0,9.1,44
2024-05,-0.0616,21.6,33.3,51
2024-06,0.0064,28.9,26.7,45
2024-07,0.0099,31.5,27.8,54
2024-08,-0.0474,17.1,28.6,35
2024-09,0.1234,45.0,12.5,40
2024-10,-0.0418,18.5,26.2,65
2024-11,0.0137,27.7,17.0,47
2024-12,-0.0487,16.3,23.9,92
2025-01,-0.0071,17.3,23.1,52
2025-02,-0.0316,33.3,37.3,51
2025-03,-0.0083,21.7,18.3,60
2025-04,0.0473,22.7,13.6,44
2025-05,0.0758,31.9,10.6,47
2025-06,0.0809,30.8,20.5,39
2025-07,0.0234,38.6,21.1,57
2025-08,-0.0321,22.9,27.1,48
2025-09,-0.0915,20.0,40.0,30
2025-10,-0.0714,7.8,27.5,51
2025-11,-0.0684,10.6,34.0,47
2025-12,0.0206,24.1,10.3,29
2026-01,-0.009,29.4,20.6,34
2026-02,-0.0736,22.6,43.5,62
2026-03,0.0259,33.3,29.2,24
2026-04,-0.0315,17.3,23.1,52
2026-05,-0.0329,30.4,26.1,46
2026-06,-0.0882,9.1,34.1,44
2026-07,0.0,0.0,0.0,1
